FPR,TPR,Threshold
0.0,0.0,1.9286679954929449
0.0,0.010752688172043012,0.928667995492945
0.0,0.08602150537634409,0.8993858053501218
0.020833333333333332,0.08602150537634409,0.8904394246784872
0.020833333333333332,0.12903225806451613,0.8784106492644502
0.0625,0.12903225806451613,0.8732739472998112
0.0625,0.13978494623655913,0.8610146515981553
0.14583333333333334,0.13978494623655913,0.8332901445825911
0.14583333333333334,0.1827956989247312,0.8204274222667015
0.1875,0.1827956989247312,0.8162605917935717
0.1875,0.21505376344086022,0.8113877488633682
0.20833333333333334,0.21505376344086022,0.8112547479174129
0.20833333333333334,0.23655913978494625,0.8085264080734745
0.22916666666666666,0.23655913978494625,0.8071819105376552
0.22916666666666666,0.3118279569892473,0.7997914184113935
0.25,0.3118279569892473,0.797760760948154
0.25,0.3333333333333333,0.7971101740752523
0.2708333333333333,0.3333333333333333,0.7962183314421527
0.2708333333333333,0.3978494623655914,0.7940501168576509
0.2916666666666667,0.3978494623655914,0.7939555390999659
0.2916666666666667,0.5053763440860215,0.7872371385658052
0.3125,0.5053763440860215,0.7868814076665045
0.3125,0.5591397849462365,0.7833283981195255
0.3333333333333333,0.5591397849462365,0.7814077941642926
0.3333333333333333,0.7526881720430108,0.7654701095835238
0.375,0.7526881720430108,0.7634845198403782
0.375,0.7741935483870968,0.7626942545311944
0.4166666666666667,0.7741935483870968,0.7577522495751179
0.4166666666666667,0.9247311827956989,0.7268903846147844
0.4375,0.9247311827956989,0.7257118062201284
0.4375,0.946236559139785,0.7195006823220768
0.4583333333333333,0.946236559139785,0.7151264747151045
0.4583333333333333,0.978494623655914,0.7030763085869355
0.4791666666666667,0.978494623655914,0.701035296587302
0.4791666666666667,1.0,0.6322313345325452
1.0,1.0,0.09921306237411172
